title,authors,language_code,num_pages,category
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,eng,652.0,large
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,eng,870.0,large
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,eng,352.0,medium
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,eng,435.0,large
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,eng,2690.0,large
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,en-US,152.0,short
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,eng,3342.0,large
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,eng,815.0,large
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,eng,815.0,large
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,eng,215.0,medium
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,eng,6.0,short
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,eng,815.0,large
A Short History of Nearly Everything,Bill Bryson,eng,544.0,large
Bill Bryson's African Diary,Bill Bryson,eng,55.0,short
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,eng,256.0,medium
In a Sunburned Country,Bill Bryson,eng,335.0,medium
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,eng,304.0,medium
The Lost Continent: Travels in Small Town America,Bill Bryson,eng,299.0,medium
Neither Here nor There: Travels in Europe,Bill Bryson,eng,254.0,medium
Notes from a Small Island,Bill Bryson,eng,324.0,medium
The Mother Tongue: English and How It Got That Way,Bill Bryson,eng,270.0,medium
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,eng,1728.0,large
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,eng,1184.0,large
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,eng,398.0,medium
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,en-US,1216.0,large
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,eng,218.0,medium
The Lord of the Rings: Complete Visual Companion,Jude Fisher,eng,224.0,medium
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,eng,558.0,large
Hatchet (Brian's Saga  #1),Gary Paulsen,eng,208.0,medium
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,eng,48.0,short
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,eng,144.0,short
Molly Hatchet - 5 of the Best,Molly Hatchet,eng,56.0,short
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,en-US,228.0,medium
